Date,Site,Type,City,State,Salinity,Temp,Month,Year,Where,Species,Common,Present
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,NA,NA,Jun,2009,Mainland,Carcinus maenas,Green Crab,TRUE
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,NA,NA,Jun,2009,Mainland,Ascidiella aspersa,Sea Squirt,FALSE
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,NA,NA,Jun,2009,Mainland,Hemigrapsus sanguineus,Asian Shore Crab,FALSE
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,NA,NA,Jun,2009,Mainland,Styela clava,Club Tunicate,FALSE
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,NA,NA,Jun,2009,Mainland,Ostrea edulis,European Oyster,FALSE
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,NA,NA,Jun,2009,Mainland,Bugula neritina,Purple Bushy Bryozoan,FALSE
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,NA,NA,Jun,2009,Mainland,Caprella mutica,Skeleton Shrimp,FALSE
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,NA,NA,Jun,2009,Mainland,Diplosoma listerianum,Diplosoma Tunicate,FALSE
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,NA,NA,Jun,2009,Mainland,Didemnum vexillum,"""Mystery"" Colonial Tunicate",FALSE
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,NA,NA,Jun,2009,Mainland,"NA",NA,FALSE
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,NA,NA,Jun,2009,Mainland,Colpomenia pereqrina,NA,FALSE
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,NA,NA,Jun,2009,Mainland,Diadumene lineata,Striped Anemone,FALSE
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,NA,NA,Jun,2009,Mainland,Codium fragile,Green Fleece,FALSE
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,NA,NA,Jun,2009,Mainland,Corella eumyota,Tunicate,FALSE
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,NA,NA,Jun,2009,Mainland,Palaemon elegans,European Rock Shrimp,FALSE
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,NA,NA,Jun,2009,Mainland,Tricellaria inopinata,Unexpected Bryozoan,FALSE
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,23,23,Jul,2009,Mainland,Botrylloides violaceus,Sheath Tunicate,TRUE
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,23,23,Jul,2009,Mainland,Botryllus schlosseri,Golden Star Tunicate,TRUE
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,23,23,Jul,2009,Mainland,Membranipora sp.,Lacy Crust Bryozoan,TRUE
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,23,23,Jul,2009,Mainland,Carcinus maenas,Green Crab,TRUE
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,23,23,Jul,2009,Mainland,Ascidiella aspersa,Sea Squirt,FALSE
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,23,23,Jul,2009,Mainland,Hemigrapsus sanguineus,Asian Shore Crab,FALSE
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,23,23,Jul,2009,Mainland,Styela clava,Club Tunicate,FALSE
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,23,23,Jul,2009,Mainland,Ostrea edulis,European Oyster,FALSE
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,23,23,Jul,2009,Mainland,Bugula neritina,Purple Bushy Bryozoan,FALSE
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,23,23,Jul,2009,Mainland,Caprella mutica,Skeleton Shrimp,FALSE
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,23,23,Jul,2009,Mainland,Diplosoma listerianum,Diplosoma Tunicate,FALSE
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,23,23,Jul,2009,Mainland,Didemnum vexillum,"""Mystery"" Colonial Tunicate",FALSE
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,23,23,Jul,2009,Mainland,"NA",NA,FALSE
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,23,23,Jul,2009,Mainland,Colpomenia pereqrina,NA,FALSE
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,23,23,Jul,2009,Mainland,Diadumene lineata,Striped Anemone,FALSE
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,23,23,Jul,2009,Mainland,Codium fragile,Green Fleece,FALSE
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,23,23,Jul,2009,Mainland,Corella eumyota,Tunicate,FALSE
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,23,23,Jul,2009,Mainland,Palaemon elegans,European Rock Shrimp,FALSE
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,23,23,Jul,2009,Mainland,Tricellaria inopinata,Unexpected Bryozoan,FALSE
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,17,20,Jul,2009,Mainland,Botrylloides violaceus,Sheath Tunicate,FALSE
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,17,20,Jul,2009,Mainland,Botryllus schlosseri,Golden Star Tunicate,TRUE
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,17,20,Jul,2009,Mainland,Membranipora sp.,Lacy Crust Bryozoan,TRUE
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,17,20,Jul,2009,Mainland,Carcinus maenas,Green Crab,TRUE
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,17,20,Jul,2009,Mainland,Ascidiella aspersa,Sea Squirt,FALSE
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,17,20,Jul,2009,Mainland,Hemigrapsus sanguineus,Asian Shore Crab,FALSE
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,17,20,Jul,2009,Mainland,Styela clava,Club Tunicate,FALSE
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,17,20,Jul,2009,Mainland,Ostrea edulis,European Oyster,FALSE
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,17,20,Jul,2009,Mainland,Bugula neritina,Purple Bushy Bryozoan,FALSE
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,17,20,Jul,2009,Mainland,Caprella mutica,Skeleton Shrimp,FALSE
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,17,20,Jul,2009,Mainland,Diplosoma listerianum,Diplosoma Tunicate,FALSE
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,17,20,Jul,2009,Mainland,Didemnum vexillum,"""Mystery"" Colonial Tunicate",FALSE
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,17,20,Jul,2009,Mainland,"NA",NA,FALSE
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,17,20,Jul,2009,Mainland,Colpomenia pereqrina,NA,FALSE
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,17,20,Jul,2009,Mainland,Diadumene lineata,Striped Anemone,FALSE
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,17,20,Jul,2009,Mainland,Codium fragile,Green Fleece,FALSE
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,17,20,Jul,2009,Mainland,Corella eumyota,Tunicate,FALSE
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,17,20,Jul,2009,Mainland,Palaemon elegans,European Rock Shrimp,FALSE
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,17,20,Jul,2009,Mainland,Tricellaria inopinata,Unexpected Bryozoan,FALSE
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,31,23,Aug,2009,Mainland,Botrylloides violaceus,Sheath Tunicate,TRUE
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,31,23,Aug,2009,Mainland,Botryllus schlosseri,Golden Star Tunicate,TRUE
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,31,23,Aug,2009,Mainland,Membranipora sp.,Lacy Crust Bryozoan,TRUE
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,31,23,Aug,2009,Mainland,Carcinus maenas,Green Crab,TRUE
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,31,23,Aug,2009,Mainland,Ascidiella aspersa,Sea Squirt,FALSE
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,31,23,Aug,2009,Mainland,Hemigrapsus sanguineus,Asian Shore Crab,FALSE
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,31,23,Aug,2009,Mainland,Styela clava,Club Tunicate,FALSE
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,31,23,Aug,2009,Mainland,Ostrea edulis,European Oyster,FALSE
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,31,23,Aug,2009,Mainland,Bugula neritina,Purple Bushy Bryozoan,FALSE
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,31,23,Aug,2009,Mainland,Caprella mutica,Skeleton Shrimp,FALSE
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,31,23,Aug,2009,Mainland,Diplosoma listerianum,Diplosoma Tunicate,FALSE
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,31,23,Aug,2009,Mainland,Didemnum vexillum,"""Mystery"" Colonial Tunicate",FALSE
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,31,23,Aug,2009,Mainland,"NA",NA,FALSE
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,31,23,Aug,2009,Mainland,Colpomenia pereqrina,NA,FALSE
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,31,23,Aug,2009,Mainland,Diadumene lineata,Striped Anemone,FALSE
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,31,23,Aug,2009,Mainland,Codium fragile,Green Fleece,FALSE
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,31,23,Aug,2009,Mainland,Corella eumyota,Tunicate,FALSE
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,31,23,Aug,2009,Mainland,Palaemon elegans,European Rock Shrimp,FALSE
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,31,23,Aug,2009,Mainland,Tricellaria inopinata,Unexpected Bryozoan,FALSE
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,29,20,Aug,2009,Mainland,Botrylloides violaceus,Sheath Tunicate,TRUE
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,29,20,Aug,2009,Mainland,Botryllus schlosseri,Golden Star Tunicate,TRUE
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,29,20,Aug,2009,Mainland,Membranipora sp.,Lacy Crust Bryozoan,TRUE
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,29,20,Aug,2009,Mainland,Carcinus maenas,Green Crab,TRUE
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,29,20,Aug,2009,Mainland,Ascidiella aspersa,Sea Squirt,TRUE
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,29,20,Aug,2009,Mainland,Hemigrapsus sanguineus,Asian Shore Crab,FALSE
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,29,20,Aug,2009,Mainland,Styela clava,Club Tunicate,FALSE
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,29,20,Aug,2009,Mainland,Ostrea edulis,European Oyster,FALSE
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,29,20,Aug,2009,Mainland,Bugula neritina,Purple Bushy Bryozoan,FALSE
